Kode Barang,Warna,   AS,   S,  M, L, XL, XXL,06,08,10,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
GAC 631,SGB,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2,5,5,,,,
GAC 632,SGB,,,,,,,,,,,,,,,,,,,,,,,,,2,4,8,5,4,,,,
GAC 635,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,1,3,,,,
GAC 636,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,8,2,5,6,,,,
GAC 638,SGB,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,9,5,,,,
GAC 639,SGB,,,,,,,,,,,,,,,,,,,,,,,,,2,6,3,4,10,,,,
GAC 640,SGB,,,,,,,,,,,,,,,,,,,,,,,,,7,5,0,8,5,,,,
GAC 641,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,5,3,,,,
GAC 642,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,1,1,,,,
GAC 643,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,0,8,1,13,,,,
GAC 644,SGB,,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,6,2,,,,
GAC 645,SGB,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,3,4,,,,
GAC 655,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,3,,,,
GAC 656,SGB,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,4,3,,,,
GAC 664,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,2,6,5,6,,,,
GAC 665,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,3,1,,,,
GAC 681,SGB,,,,,,,,,,,,,,,,,,,,,,,,,4,9,2,2,3,,,,
GGC 142,SGB,,,0,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIC 717,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,6,8,3,7,
GIC 719,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,2,4,4,5,
GIC 720,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,2,8,4,
GIC 723,SGB,,,,,,,,,,,,,,,,,,,,4,4,6,4,7,,,,,,,,,
GIC 724,SGB,,,,,,,,,,,,,,,,,,,,,1,8,5,2,3,5,,,,,,,
GIC 725,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,6,5,5,
GIC 726,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,5,4,4,5,
